Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","124","Canada","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","6125","Value","","106.112662","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","6125","Value","","106.03365","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","6125","Value","","105.638592","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","6125","Value","","105.954638","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","6125","Value","","105.480568","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","6125","Value","","105.401557","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","6125","Value","","105.55958","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","6125","Value","","106.270685","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","6125","Value","","106.98179","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","6125","Value","","107.45586","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","6125","Value","","107.92993","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","6125","Value","","107.692895","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","6125","Value","","108.245977","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","6125","Value","","108.087953","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","6125","Value","","107.613883","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","6125","Value","","107.92993","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","6125","Value","","107.771907","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","6125","Value","","107.771907","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","6125","Value","","108.087953","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","6125","Value","","108.562023","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","6125","Value","","107.92993","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","6125","Value","","107.218825","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","6125","Value","","107.534872","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","6125","Value","","108.404","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","6125","Value","","108.404","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","6125","Value","","108.245977","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","6125","Value","","108.166965","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","6125","Value","","108.641035","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","6125","Value","","108.799058","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","6125","Value","","108.562023","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2021","2021","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","6125","Value","","109.194117","X","Figure from external organization","base year is 2015"
